Jurisdicción,Sector,Ámbito,Departamento,Código de departamento,Localidad,Código de localidad,Cueanexo,Nombre,Domicilio,C. P.,Teléfono,Mail,Común,Especial,Adultos,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario,Secundario - INET,SNU,SNU - INET,SNU - Cursos,Nivel inicial - Educación temprana,Nivel inicial - Jardín de infantes,Primario,Secundario,Integración a la modalidad común/ adultos,Primario,Secundario,Formación Profesional,Formación Profesional - INET,Alfabetización,Inicial,Primario,Secundario,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020001100,REPUBLICA ITALIANA,RIO CUARTO 1249 BOCA ,C1168,011 4301-0301,dep_epc19_de4@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020001200,JUAN MARIA GUTIERREZ,ROCHA 1226 BOCA ,C1166,011 4301-1020,dep_epc3_de4@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 1,02101,CIUDAD DE BUENOS AIRES,02101001,020001500,EUSTAQUIO CARDENAS,SALTA 1226 CONSTITUCION ,C1137,011 4305-1244,DEAA_EP16_DE3@BUE.EDU.AR,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 13,02113,CIUDAD DE BUENOS AIRES,02113001,020001700,ESCUELA DE LA ALDEA,NUÑEZ 2776 NUÑEZ ,C1429,011 4702-8042,info@escuelalaaldea.edu.ar,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 11,02111,CIUDAD DE BUENOS AIRES,02111001,020001800,FRAY JUSTO SANTA MARIA DE ORO,AVDA. ALVAREZ JONTE 1964 VILLA GRAL. MITRE ,C1416,011 4581-4699,dep_epc16_de14@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 3,02103,CIUDAD DE BUENOS AIRES,02103001,020001900,CENS Nº 59 DE 03,AVDA. SAN JUAN 2277 SAN CRISTOBAL ,C1232,011 4941-0914/16,deaa_cens59_de3@bue.edu.ar,,,1,,,,,,,,,,,,,,,1,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 5,02105,CIUDAD DE BUENOS AIRES,02105001,020002000,CENS Nº 15 DE 06,AVDA. BELGRANO 3767 ALMAGRO ,C1210,011 4982-0257,DEAA_CENS15_DE6@BUE.EDU.AR,,,1,,,,,,,,,,,,,,,1,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 3,02103,CIUDAD DE BUENOS AIRES,02103001,020002100,CENS Nº 44 DE 03,AVDA. ENTRE RIOS 1341 SAN CRISTOBAL ,C1133,011 4304-0636,DEAA_CENS44_DE3@BUE.EDU.AR,,,1,,,,,,,,,,,,,,,1,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 9,02109,CIUDAD DE BUENOS AIRES,02109001,020002200,REPUBLICA DE FILIPINAS,COSQUIN 1943 MATADEROS ,C1440,011 4687-1283,dep_epc13_de20@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 9,02109,CIUDAD DE BUENOS AIRES,02109001,020002300,JUAN RAMON JIMENEZ,MURGUIONDO 1347 MATADEROS ,C1440,011 4687-1738,dep_epc20_de20@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 10,02110,CIUDAD DE BUENOS AIRES,02110001,020002400,RECUERDOS DE PROVINCIA,AVDA. JUAN BAUTISTA ALBERDI 4755 VILLA LURO ,C1407,011 4683-3331,dep_epc7_de13@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 10,02110,CIUDAD DE BUENOS AIRES,02110001,020002500,CARLOS GUIDO Y SPANO,CNEL. RAMON L. FALCON 4801 VILLA LURO ,C1407,011 4683-3354,dep_epc6_de13@bue.edu.ar/dep_epc6_de13@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 13,02113,CIUDAD DE BUENOS AIRES,02113001,020002600,CENTRO DE ESTUDIOS INTERDISCPLINARIOS PARA EL APRENDIZAJE Y LA COMUNICACION,CAP. GRAL. RAMON FREIRE 1658 BELGRANO ,C1426,011 52633939,info@ceiac.edu.ar,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 13,02113,CIUDAD DE BUENOS AIRES,02113001,020002700,JARDIN INFANTES A.B.C.,SUPERI 2132 BELGRANO ,C1430,011 4544-5761,administracion@abc-kindergarten.com.ar,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 13,02113,CIUDAD DE BUENOS AIRES,02113001,020002800,INSTITUTO BET-EL,CONDE 1860 BELGRANO ,C1428,011 4554-3253/3023,SECRETARIAPRIMARIA@BETEL.EDU.AR,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020002900,INSTITUTO SAN PEDRO,BENITO QUINQUELA MARTIN 1151 BOCA ,C1167,011 4301-3261,sanpedro@donbosco.org.ar,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 2,02102,CIUDAD DE BUENOS AIRES,02102001,020003100,COLEGIO LAS CUMBRES,GUIDO 1880 RECOLETA ,C1119,011 4801-6139/4804-1205,PRIMARIA@LASCUMBRES.EDU.AR,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 1,02101,CIUDAD DE BUENOS AIRES,02101001,020003300,INSTITUTO CONSTANZA RAMOS MEJIA DE BUNGE,PARAGUAY 1252 RETIRO ,C1057,011  4816-1549,secreped@dacconstanza.edu.ar,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 2,02102,CIUDAD DE BUENOS AIRES,02102001,020003400,INST. COLEGIO SAN TARSICIO,JUNCAL 2623 RECOLETA ,C1425,011 4822-2150/1432,direccion.inicial@santarsicio.edu.ar,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 1,02101,CIUDAD DE BUENOS AIRES,02101001,020003600,VALENTIN GOMEZ,AVDA. INDEPENDENCIA 758 SAN TELMO ,C1099,011 4300-4258,DEAA_EP1_DE3@BUE.EDU.AR,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020003700,JIN B DE 19 (ESC. PRIM. N°11 DE 19) HOMERO MANZI ,MOM 2380 NUEVA POMPEYA ,C1437,011 4924-4493,dei_jinb22_de19@bue.edu.ar,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020003800,MARIA SILVENTI DE AMATO,ALAGON 300 NUEVA POMPEYA ,C1437,011 4923-9002,dep_epc1_de19@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020003900,PROFESOR CARLOS JUSTO FLORIT,TILCARA 2856 NUEVA POMPEYA ,C1437,011 4918-3640,dep_epc3_de19@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 7,02107,CIUDAD DE BUENOS AIRES,02107001,020004000,RICARDO GUIRALDES,AVDA. RIESTRA 1850 FLORES ,C1437,011 4918-8935,dep_epc4_de19@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020004100,PROVINCIA DE CORRIENTES,AVDA. CASEROS 4050 NUEVA POMPEYA ,C1437,011 4925-1525,dep_epc5_de19@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020004200,AERONAUTICA ARGENTINA,QUILMES 473 NUEVA POMPEYA ,C1437,011 4923-1183/4912-2030,dep_epc7_de19@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020004300,JUAN ANDRES DE LA PEÑA,ANIBAL PEDRO ARBELETCHE 1052 NUEVA POMPEYA ,C1437,011 4922-6261,dep_epc10_de19@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 7,02107,CIUDAD DE BUENOS AIRES,02107001,020004400,JII Nº 01 DE 19 MANUEL BELGRANO,LAS CARACOLAS 2152 FLORES BARRIO RIVADAVIA,C1406,011 4631-5290/4633-5872,dei_jii1_de19@bue.edu.ar,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 3,02103,CIUDAD DE BUENOS AIRES,02103001,020004500,CENS Nº 63 DE 01,"PERON, JUAN DOMINGO, TTE. GENERAL 1818 BALVANERA  ",C1040,011 70910034,DEAA_CENS63_DE1@BUE.EDU.AR,,,1,,,,,,,,,,,,,,,1,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 15,02115,CIUDAD DE BUENOS AIRES,02115001,020004600,REPUBLICA DE HONDURAS,AVDA. ELCANO 4861 PATERNAL ,C1427,011 4553-1049,dep_epc20_de14@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 14,02114,CIUDAD DE BUENOS AIRES,02114001,020004700,INSTITUTO BAYARD,CASTEX 3348 PALERMO ,C1425,011 3988-2710,ADMISIONES@BAYARD.EDU.AR/BAY@BAYARD.ESC.EDU.AR,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 15,02115,CIUDAD DE BUENOS AIRES,02115001,020004800,CABILDO DE BUENOS AIRES,AVDA. FEDERICO LACROZE 3839 CHACARITA ,C1427,011 4553-5347,dep_epc18_de14@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020004900,INSTITUTO PARROQUIAL SANTA LUCIA,ISABEL LA CATOLICA 221 BARRACAS 235,C1268,011 4362-6061,COLEGIOSANTALUCIA2005@YAHOO.COM.AR,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020005000,DR. PEDRO MELITON LEDESMA,TRAFUL 3835 NUEVA POMPEYA ,C1437,011 4911-8654,dep_epc17_de5@bue.edu.ar ,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 15,02115,CIUDAD DE BUENOS AIRES,02115001,020005100,INGENIERO ALVAREZ CONDARCO,GIRARDOT 1946 VILLA ORTUZAR ,C1427,011 4521-5831,dep_epc3_de14@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 15,02115,CIUDAD DE BUENOS AIRES,02115001,020005200,ESCUELA INTEGRAL INTERDISCIPLINARIA N° 14 DE 14,AVDA. TRIUNVIRATO 3626 VILLA ORTUZAR ,C1427,011 4521-8869,EDREC14_DE14@BUE.EDU.AR,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020005300,PRESIDENTE DERQUI,CALIFORNIA 1925 BARRACAS ,C1289,011 4301-5133,dep_epc24_de4@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 11,02111,CIUDAD DE BUENOS AIRES,02111001,020005400,INSTITUTO SAN JUAN MARIA VIANNEY,AVDA. SAN MARTIN 4460 VILLA DEL PARQUE ,C1417,011 4502-5220,vianneyinstituto@gmail.com,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 1,02101,CIUDAD DE BUENOS AIRES,02101001,020005500,INSTITUTO INTEGRAL DEL SUD,DEFENSA 1318 SAN TELMO ,C1143,011 4700-2348,INTEGRAL_DEL_SUD@YAHOO.COM.AR,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 3,02103,CIUDAD DE BUENOS AIRES,02103001,020005600,FRANCISCO DE GURRUCHAGA,AVDA. JUJUY 1471 SAN CRISTOBAL ,C1247,011 4941-5295,dep_epc10_de6@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020005700,ESCUELA INTEGRAL INTERDISCIPLINARIA Nº 06 DE 06,INCLAN 3146 PARQUE PATRICIOS ,C1258,011 4911-7750,EDREC6_DE6@BUE.EDU.AR,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 3,02103,CIUDAD DE BUENOS AIRES,02103001,020005800,COLEGIO SECUNDARIO STO TOMAS DE AQUINO,TTE. GRAL. JUAN DOMINGO PERON 1862 BALVANERA ,C1040,011 0810-2200-822,CSTA_CONGRESO@UCA.EDU.AR,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 13,02113,CIUDAD DE BUENOS AIRES,02113001,020005801,COLEGIO SECUNDARIO SANTO TOMAS DE AQUINO,CAP. GRAL. RAMON FREIRE 145 COLEGIALES ,C1426,011 0810-2200-822  int. 6200/6221,CSTA_COLEGIALES@UCA.EDU.AR,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020006000,ESC. HOSPITALARIA Nº 02 DE 05,COMBATE DE LOS POZOS 1881 PARQUE PATRICIOS HOSP. DR. PROF. J.P.GARRAHAM,C1245,011 4943-7363,EH2_DE5@BUE.EDU.AR,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 15,02115,CIUDAD DE BUENOS AIRES,02115001,020006100,CENS Nº 21 DE 14,BALBOA 210 PATERNAL ,C1427,011 4554-9294,deaa_cens21_de4@bue.edu.ar,,,1,,,,,,,,,,,,,,,1,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020006200,ESCUELA INTEGRAL INTERDISCIPLINARIA N° 05 DE 05,JOSE A. CORTEJARENA 3350 PARQUE PATRICIOS ,C1437,011 4911-0796,edrec5_de5@bue.edu.ar,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 1,02101,CIUDAD DE BUENOS AIRES,02101001,020006300,GENERAL GUEMES,CARLOS CALVO 1140 CONSTITUCION ,C1102,011 4305-2218,dep_epc7_de3@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 1,02101,CIUDAD DE BUENOS AIRES,02101001,020006500,INST. HOGAR DEL PINO,CONSTITUCION 1650 CONSTITUCION ,C1151,011 4305-0162,HOGAR_DEL_PINO@YAHOO.COM.AR,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 11,02111,CIUDAD DE BUENOS AIRES,02111001,020007000,CENS Nº 66 DE 16,JOSE CUBAS 4182 VILLA DEVOTO ,C1419,011 4587-6322,DEAA_CENS66_DE3@BUE.EDU.AR,,,1,,,,,,,,,,,,,,,1,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 1,02101,CIUDAD DE BUENOS AIRES,02101001,020007100,GRAL MARIANO NECOCHEA,PTE. LUIS SAENZ PEÑA 463 MONTSERRAT ,C1110,011 4383-9105/5420,dep_epc14_de3@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 1,02101,CIUDAD DE BUENOS AIRES,02101001,020007200,INSTITUTO NUESTRA SEÑORA DE MONSERRAT,AVDA. BELGRANO 1344 MONTSERRAT VENEZUELA 1232,C1095,011 4383-7817/4381-1001,institutomontserrat1885@gmail.com,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 1,02101,CIUDAD DE BUENOS AIRES,02101001,020007202,INSTITUTO NUESTRA SEÑORA DE MONSERRAT,REPUBLICA BOLIVARIANA DE VENEZUELA 1232 MONTSERRAT ,C1095,011 4383-7817/4381-1001,institutomontserrat1885@gmail.com/jardinmontserrat@hotmail.com,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 1,02101,CIUDAD DE BUENOS AIRES,02101001,020007300,FRAY CAYETANO RODRIGUEZ,CHILE 1670 MONTSERRAT ,C1100,011 4383-3080,dep_epc2_de3@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 10,02110,CIUDAD DE BUENOS AIRES,02110001,020007500,JIN D DE 18 (ESC. PRIM. N° 08 DE 18) EL JARDÍN DE LAS CALLES ROMÁNTICAS,CNEL. PEDRO CALDERON DE LA BARCA 157 VILLA LURO ,C1407,011 4674-0880,dei_jind8_de18@bue.edu.ar,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 10,02110,CIUDAD DE BUENOS AIRES,02110001,020007501,JIN D DE 18 (ESC. PRIM. Nº 07 DE 18) EL JARDÍN DE LAS CALLES ROMÁNTICAS,AVDA. RIVADAVIA 9799 VILLA LURO ,C1407,011 4674-0880,dei_JIND8_DE18@bue.edu.ar,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 10,02110,CIUDAD DE BUENOS AIRES,02110001,020007502,JIN D DE 18 (ESC. PRIM. N° 10 DE 18)EL JARDÍN DE LAS CALLES ROMÁNTICAS,DR. LUIS BELAUSTEGUI 4949 VELEZ SARSFIELD ,C1407,011 4674-0880,dei_JIND8_DE18@bue.edu.ar,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020007600,JIC Nº 03 DE 05,LUZURIAGA 1571 BARRACAS ,C1279,011 4301-7741,dei_jic3_de5@bue.edu.ar,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020007700,NIEVES ESCALADA DE OROMI,SAN ANTONIO 682 BARRACAS ,C1276,011 4301-1867,dep_epc20_de5@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 5,02105,CIUDAD DE BUENOS AIRES,02105001,020007800,INSTITUTO PIO IX,YAPEYU 197 ALMAGRO ,C1202,011 4981-1337/1985,INFO@PIOIX.EDU.AR/SECRETARIA@PIOIX.EDU.AR,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 9,02109,CIUDAD DE BUENOS AIRES,02109001,020007900,COLEGIO Nº 13 CNEL.DE MARINA TOMAS ESPORA DE 18,GALLARDO 149 LINIERS ,C1408,011 4641-2011/6074,dem_col13_de18@bue.edu.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 10,02110,CIUDAD DE BUENOS AIRES,02110001,020008000,ESCUELA INTEGRAL INTERDISCIPLINARIA N°18 DE 18,SAN BLAS 4356 FLORESTA ,C1407,011 4567-3044,EDREC18_DE18@BUE.EDU.AR,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 2,02102,CIUDAD DE BUENOS AIRES,02102001,020008200,INST MARIA BIANCHI DE COPELLO,JOSE ANDRES PACHECO DE MELO 2455 RECOLETA ,C1425,011 4806-9135,secretariacopello@gmail.com,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Privado,Urbano,Comuna 12,02112,CIUDAD DE BUENOS AIRES,02112001,020008300,COLEGIO SAGRADA FAMILIA,BLANCO ENCALADA 5154 VILLA URQUIZA ,C1431,011 4521-5117 / 7845,secretariadg@safabaires.edu.ar,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 10,02110,CIUDAD DE BUENOS AIRES,02110001,020008400,JIC Nº 01 DE 18 REPUBLICA ARGENTINA,CERVANTES 1927 MONTE CASTRO ,C1417,011 4639-6770,dei_jic1_de18@bue.edu.ar,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 10,02110,CIUDAD DE BUENOS AIRES,02110001,020008500,GENDARMERIA NACIONAL,JUAN AGUSTIN GARCIA 5265 MONTE CASTRO ,C1407,011 4567-5637,dep_epc18_de18@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 10,02110,CIUDAD DE BUENOS AIRES,02110001,020008600,CASIMIRO AURELIANO MACIEL,MARCOS PAZ 1732 VELEZ SARSFIELD ,C1407,011 4566-2037,dep_epc4_de18@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 4,02104,CIUDAD DE BUENOS AIRES,02104001,020008900,PRESBITERO ALBERTI,ITAQUI 2050 NUEVA POMPEYA CHARRÚA 2850,C1437,011 4918-9800,dep_epc13_de19@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciudad de Buenos Aires,Estatal,Urbano,Comuna 8,02108,CIUDAD DE BUENOS AIRES,02108001,020009000,JOSE MARTI,PJE. L E/LACARRA Y LAGUNA  VILLA SOLDATI BARRIO RAMON CARRILLO,C1437,011 4637-2020,dep_epc19_de19@bue.edu.ar,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
